datetime,global_active_power,global_reactive_power,voltage,global_intensity,sub_metering_1,sub_metering_2,sub_metering_3,sub_metering_total_wh,active_energy_wh,unmetered_energy_wh,hour,day_of_week,month,year,is_weekend,lag_1_power,lag_2_power,lag_24_power,rolling_3_power_mean,rolling_24_power_mean,high_consumption
2006-12-16 17:00:00,4.222889,0.229,234.64389,18.1,0.0,19.0,607.0,626.0,70.381485,0.0,17,5,12,2006,1,4.222889,4.222889,4.222889,4.222889,4.222889,1
2006-12-16 18:00:00,3.6322,0.08003333,234.58017,15.6,0.0,403.0,1012.0,1415.0,60.536667,0.0,18,5,12,2006,1,4.222889,4.222889,4.222889,4.222889,4.222889,1
2006-12-16 19:00:00,3.4002333,0.08523333,233.2325,14.503333,0.0,86.0,1001.0,1087.0,56.670555,0.0,19,5,12,2006,1,3.6322,4.222889,4.222889,3.9275444,3.9275444,1
2006-12-16 20:00:00,3.2685666,0.0751,234.0715,13.916667,0.0,0.0,1007.0,1007.0,54.476112,0.0,20,5,12,2006,1,3.4002333,3.6322,4.222889,3.751774,3.751774,1
2006-12-16 21:00:00,3.0564666,0.07666667,237.15866,13.046667,0.0,25.0,1033.0,1058.0,50.941113,0.0,21,5,12,2006,1,3.2685666,3.4002333,4.222889,3.4336667,3.6309721,1
2006-12-16 22:00:00,2.2001333,0.056166667,238.76,9.523334,0.0,8.0,266.0,274.0,36.668888,0.0,22,5,12,2006,1,3.0564666,3.2685666,4.222889,3.2417555,3.516071,1
2006-12-16 23:00:00,2.0616,0.071433336,240.61966,8.896667,0.0,5.0,0.0,5.0,34.36,29.36,23,5,12,2006,1,2.2001333,3.0564666,4.222889,2.8417222,3.2967482,1
2006-12-17 00:00:00,1.8824667,0.10243333,240.96184,8.126667,0.0,28.0,0.0,28.0,31.374445,3.3744445,0,6,12,2006,1,2.0616,2.2001333,4.222889,2.4394,3.1202984,1
2006-12-17 01:00:00,3.3494,0.13693333,240.44833,14.246667,0.0,1514.0,0.0,1514.0,55.823334,0.0,1,6,12,2006,1,1.8824667,2.0616,4.222889,2.0480666,2.9655695,1
2006-12-17 02:00:00,1.5872667,0.07823333,245.81866,6.87,0.0,34.0,0.0,34.0,26.454445,0.0,2,6,12,2006,1,3.3494,1.8824667,4.222889,2.4311554,3.0082173,0
